date,buy_hold,v1_bullish,v1_positive,v2_bullish,v2_positive
2024-09-14,1.000000,1.000000,1.000000,1.000000,1.000000
2024-09-15,0.984648,1.000000,0.984648,1.000000,0.984648
2024-09-16,0.969361,1.000000,0.983663,1.000000,0.969361
2024-09-17,1.004330,1.000000,0.983663,1.000000,0.968392
2024-09-18,1.028408,1.000000,1.006262,1.000000,0.990640
2024-09-19,1.048191,1.000000,1.025619,1.000000,1.009696
2024-09-20,1.052404,1.000000,1.024593,1.000000,1.008686
2024-09-21,1.054867,1.000000,1.024593,1.000000,1.008686
2024-09-22,1.058694,1.000000,1.024593,1.000000,1.008686
2024-09-23,1.054718,1.000000,1.024593,1.000000,1.003890
2024-09-24,1.070083,1.000000,1.024593,1.000000,1.018514
2024-09-25,1.051588,1.000000,1.024593,1.000000,1.017495
2024-09-26,1.085257,1.031018,1.056373,1.031018,1.049056
2024-09-27,1.095181,1.040445,1.066033,1.040445,1.058648
2024-09-28,1.096647,1.041838,1.067460,1.041838,1.060066
2024-09-29,1.092384,1.037789,1.063311,1.037789,1.055945
2024-09-30,1.054512,1.001809,1.026446,1.001809,1.019336
2024-10-01,1.012519,0.961915,0.985571,0.961915,0.978744
2024-10-02,1.009913,0.960953,0.983035,0.960953,0.976225
2024-10-03,1.011635,0.960953,0.984711,0.960953,0.977890
2024-10-04,1.033837,0.981081,1.006322,0.960953,0.999351
2024-10-05,1.033371,0.980100,1.005868,0.959559,0.998900
2024-10-06,1.046058,0.991153,1.018217,0.958599,1.011164
2024-10-07,1.036135,0.981751,1.008559,0.958599,1.001572
2024-10-08,1.035077,0.980749,1.007529,0.958599,1.000550
2024-10-09,1.009692,0.956696,0.982820,0.958599,0.976011
2024-10-10,1.004536,0.955740,0.981837,0.958599,0.975035
2024-10-11,1.041397,0.955740,1.016882,0.958599,0.975035
2024-10-12,1.052490,0.964965,1.027715,0.958599,0.984447
2024-10-13,1.046892,0.959832,1.022249,0.958599,0.979211
2024-10-14,1.100410,1.008900,1.074507,0.958599,1.029269
2024-10-15,1.116898,1.024017,1.090606,0.958599,1.044691
2024-10-16,1.125988,1.032350,1.099482,0.958599,1.053193
2024-10-17,1.122687,1.029324,1.096259,0.958599,1.050105
2024-10-18,1.139442,1.044686,1.112620,0.958599,1.065777
2024-10-19,1.138609,1.043641,1.111807,0.958599,1.064998
2024-10-20,1.149499,1.043641,1.122440,0.958599,1.075184
2024-10-21,1.121949,1.043641,1.095539,0.958599,1.049416
2024-10-22,1.122757,1.043641,1.096327,0.958599,1.050171
2024-10-23,1.110146,1.043641,1.084013,0.958599,1.038375
2024-10-24,1.135617,1.066543,1.108884,0.979634,1.062199
2024-10-25,1.110640,1.065476,1.084496,0.978655,1.038837
2024-10-26,1.117208,1.070711,1.090909,0.978655,1.044981
2024-10-27,1.132676,1.085536,1.106013,0.978655,1.059449
2024-10-28,1.164989,1.084450,1.104907,0.978655,1.058390
2024-10-29,1.211184,1.126368,1.147615,0.978655,1.099300
2024-10-30,1.204662,1.125241,1.141435,0.978655,1.093380
2024-10-31,1.170481,1.125241,1.109048,0.978655,1.062356
2024-11-01,1.157226,1.111374,1.096489,0.966594,1.050326
2024-11-02,1.155207,1.109434,1.094576,0.965627,1.048493
2024-11-03,1.145237,1.099859,1.085129,0.965627,1.039444
2024-11-04,1.129817,1.098759,1.084044,0.965627,1.038404
2024-11-05,1.155161,1.098759,1.107277,0.965627,1.038404
2024-11-06,1.258401,1.098759,1.206237,0.965627,1.038404
2024-11-07,1.263162,1.098759,1.210801,0.965627,1.041294
2024-11-08,1.274017,1.098759,1.221206,0.965627,1.050243
2024-11-09,1.276809,1.098759,1.223882,0.965627,1.052544
2024-11-10,1.338297,1.098759,1.282820,0.965627,1.103232
2024-11-11,1.476139,1.098759,1.281538,0.965627,1.102129
2024-11-12,1.464550,1.098759,1.270195,0.965627,1.092374
2024-11-13,1.504900,1.098759,1.268924,0.965627,1.091281
2024-11-14,1.454119,1.098759,1.268924,0.965627,1.053366
2024-11-15,1.515838,1.098759,1.268924,0.965627,1.098075
2024-11-16,1.508425,1.098759,1.261450,0.965627,1.092706
2024-11-17,1.496254,1.098759,1.260189,0.965627,1.083889
2024-11-18,1.506380,1.098759,1.260189,0.965627,1.091224
2024-11-19,1.537131,1.098759,1.284654,0.965627,1.113500
2024-11-20,1.570031,1.098759,1.283369,0.965627,1.137333
2024-11-21,1.637146,1.098759,1.336947,0.965627,1.185951
2024-11-22,1.646719,1.098759,1.344765,0.965627,1.192886
